id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
13,2016-12-16,Collateral Beauty,36000000,31016021,"Drama,Romance",tt4682786,97.0,12.857000000000001,2016,Friday,December,31.016021,36.0,-4.9839790000000015,-13.844386111111117,16,12
14,2003-04-04,A Man Apart,36000000,26500000,,,,,2003,Friday,April,26.5,36.0,-9.5,-26.38888888888889,4,4
15,2000-02-25,Reindeer Games,36000000,23360779,,,,,2000,Friday,February,23.360779,36.0,-12.639221,-35.10894722222222,25,2
19,2000-01-28,Isn't She Great,36000000,2954405,,,,,2000,Friday,January,2.954405,36.0,-33.045595,-91.79331944444445,28,1
20,2016-01-22,Yip Man 3,36000000,2679437,,,,,2016,Friday,January,2.679437,36.0,-33.320563,-92.55711944444445,22,1
21,2011-05-06,There Be Dragons,36000000,1069334,"Biography,Drama,War",tt1316616,122.0,7.058,2011,Friday,May,1.069334,36.0,-34.930665999999995,-97.0296277777778,6,5
22,2017-04-14,Queen of the Desert,36000000,0,"Adventure,Biography,Drama",tt1837636,128.0,7.109,2017,Friday,April,0.0,36.0,-36.0,-100.0,14,4
23,2003-03-28,Head of State,35200000,37788228,Comedy,tt5358844,,,2003,Friday,March,37.788228,35.2,2.5882279999999938,7.352920454545437,28,3
24,2017-09-08,It,35000000,327481748,"Horror,Thriller",tt1396484,135.0,13.966,2017,Friday,September,327.481748,35.0,292.481748,835.6621371428571,8,9
25,2009-06-05,The Hangover,35000000,277322503,,,,,2009,Friday,June,277.322503,35.0,242.32250299999998,692.3500085714285,5,6
26,2009-11-20,The Blind Side,35000000,255959475,,,,,2009,Friday,November,255.959475,35.0,220.959475,631.3127857142857,20,11
29,2010-12-22,True Grit,35000000,171243005,"Adventure,Drama,Western",tt1403865,110.0,13.118,2010,Wednesday,December,171.243005,35.0,136.243005,389.26572857142855,22,12
32,2013-02-08,Identity Thief,35000000,134506920,"Adventure,Comedy,Crime",tt2024432,111.0,13.552999999999999,2013,Friday,February,134.50692,35.0,99.50692,284.30548571428574,8,2
33,2006-06-30,The Devil Wears Prada,35000000,124740460,,,,,2006,Friday,June,124.74046,35.0,89.74046,256.40131428571425,30,6
34,2011-07-08,Horrible Bosses,35000000,117538559,"Comedy,Crime",tt1499658,98.0,14.058,2011,Friday,July,117.538559,35.0,82.53855899999998,235.8244542857143,8,7
35,2001-03-30,Spy Kids,35000000,112692062,,,,,2001,Friday,March,112.692062,35.0,77.69206199999998,221.97732000000002,30,3
36,2015-07-17,Trainwreck,35000000,110212700,"Comedy,Drama,Romance",tt3152624,125.0,18.423,2015,Friday,July,110.2127,35.0,75.2127,214.89342857142856,17,7
37,2013-12-13,Saving Mr. Banks,35000000,83299761,"Biography,Comedy,Drama",tt2140373,125.0,9.585,2013,Friday,December,83.299761,35.0,48.299761,137.99931714285714,13,12
39,2008-03-28,21,35000000,81159365,Horror,tt5097012,98.0,,2008,Friday,March,81.15936500000002,35.0,46.159365,131.88389999999998,28,3
40,2008-05-09,What Happens in Vegas...,35000000,80277646,,,,,2008,Friday,May,80.27764599999998,35.0,45.277646000000004,129.36470285714287,9,5
43,2009-01-16,Hotel for Dogs,35000000,73178547,,,,,2009,Friday,January,73.178547,35.0,38.178546999999995,109.08156285714284,16,1
44,2005-03-25,Guess Who,35000000,68915888,,,,,2005,Friday,March,68.915888,35.0,33.915887999999995,96.90253714285713,25,3
45,2012-12-21,This is 40,35000000,67544505,,,,,2012,Friday,December,67.544505,35.0,32.544505,92.9843,21,12
47,2005-07-29,Sky High,35000000,63939454,"Adventure,Documentary,Drama",tt2466604,70.0,,2005,Friday,July,63.93945400000001,35.0,28.939453999999998,82.68415428571429,29,7
49,2010-04-30,A Nightmare on Elm Street,35000000,63075011,"Crime,Drama,Horror",tt1179056,95.0,9.795,2010,Friday,April,63.075011,35.0,28.075011000000003,80.21431714285715,30,4
50,2000-08-18,The Cell,35000000,61280963,,,,,2000,Friday,August,61.280963,35.0,26.280963,75.08846571428572,18,8
52,2006-04-07,The Benchwarmers,35000000,59843754,,,,,2006,Friday,April,59.843754,35.0,24.843754,70.98215428571426,7,4
53,2010-10-08,Secretariat,35000000,59699513,"Biography,Drama,Family",tt1028576,123.0,9.059,2010,Friday,October,59.699513,35.0,24.699513000000003,70.57003714285716,8,10
55,2011-07-22,Friends with Benefits,35000000,55802754,"Comedy,Romance",tt1632708,109.0,14.019,2011,Friday,July,55.802754,35.0,20.802754,59.43644000000001,22,7
56,2016-05-20,Neighbors 2: Sorority Rising,35000000,55340730,Comedy,tt4438848,92.0,17.662,2016,Friday,May,55.34073000000001,35.0,20.34073,58.11637142857143,20,5
57,2007-03-23,TMNT,35000000,54149098,,,,,2007,Friday,March,54.149098,35.0,19.149098000000002,54.711708571428574,23,3
58,2003-10-24,Radio,35000000,52333738,Thriller,tt2780192,,,2003,Friday,October,52.333738,35.0,17.333737999999997,49.524965714285706,24,10
59,2018-06-29,Sicario: Day of the Soldado,35000000,50065850,"Action,Crime,Drama",tt5052474,122.0,29.725,2018,Friday,June,50.06585,35.0,15.065849999999998,43.0452857142857,29,6
60,2009-11-25,Old Dogs,35000000,49492060,,,,,2009,Wednesday,November,49.49206,35.0,14.492060000000002,41.405885714285716,25,11
62,2015-05-22,Poltergeist,35000000,47425125,"Horror,Thriller",tt1029360,93.0,17.343,2015,Friday,May,47.425125,35.0,12.425125,35.50035714285715,22,5
